,,,,,,
Выручка,Девочка,Мальчик,Месяц,Температура,Дождь,День недели
5795,1,,5,11.5,0,пт
6595,1,,5,13.5,0,сб
8090,1,,5,10.2,0,вс
5870,,1,5,9.6,1,пн
4655,1,,5,6.5,0,вт
5645,1,,5,11.1,0,ср
5600,,1,5,12.4,1,чт
6200,,1,5,11.6,0,пт
6250,1,,5,12.5,0,сб
6250,1,,5,11.7,0,вс
6245,,1,5,15.9,0,пн
6415,,1,5,16.6,0,вт
6055,1,,5,18.3,0,ср
5025,1,,5,13.6,1,чт
4540,,1,5,12.1,1,пт
5500,,1,5,13.6,0,сб
5345,1,,5,14.8,0,вс
8395,1,,5,20,0,пн
7800,1,,5,17.7,1,вт
9115,,1,6,21.2,0,ср
11250,1,,6,19.2,0,чт
8590,1,,6,16.4,1,пт
8495,,1,6,15,1,сб
9200,,1,6,17.5,0,вс
6500,,1,6,16.7,0,пн
5920,1,,6,19.3,0,вт
6200,,1,6,21.2,1,ср
6500,,1,6,20,0,чт
6975,1,,6,21.5,0,пт
9950,1,,6,24.3,0,сб
5825,,1,6,21.7,1,вс
7510,,1,6,16.5,1,пн
7175,1,,6,18.6,0,вт
7385,1,,6,16.4,1,ср
12000,,1,6,17,0,чт
7300,,1,6,13.6,0,пт
9305,1,,6,19.1,0,сб
4930,1,,6,16.3,1,вс
7140,,1,6,16.4,0,пн
7885,,1,6,18.1,0,вт
9480,1,,6,20.4,0,ср
8835,1,,6,22.9,0,чт
8125,,1,6,24.4,0,пт
7980,,1,6,27.6,0,сб
6695,,1,6,28.8,0,вс
6560,1,,6,29.9,0,пн
7365,,1,6,26.7,0,вт
7865,,1,6,27.1,0,ср
7700,1,,6,26.7,0,чт
7085,1,,7,29.2,0,пт
3825,,1,7,31.3,0,сб
5230,1,,7,26.6,0,вс
5865,1,,7,26.7,0,пн
7285,,1,7,24.2,0,вт
6365,,1,7,22.7,0,ср
6720,,1,7,19.3,1,чт
6700,1,,7,20,0,пт
7500,1,,7,21.4,1,сб
8185,,1,7,21.3,0,вс
8480,,1,7,18.2,1,пн
5765,1,,7,28.3,0,вт
5415,,1,7,24.7,0,ср
6695,,1,7,16,1,чт
8475,1,,7,18.9,1,пт
5900,1,,7,16.1,1,сб
8075,1,,7,16.1,1,вс
5585,,1,7,17.6,0,пн
6290,,1,7,21.7,0,вт
4530,1,,7,20.2,0,ср
6890,1,,7,24.7,0,чт
4855,,1,7,28.5,0,пт
7250,1,,7,23.5,0,сб
8105,1,,7,22,0,вс
5430,1,,7,22.9,0,пн
6170,,1,7,26.8,0,вт
5670,,1,7,20.7,1,ср
5855,1,,7,21.3,0,чт
6485,1,,7,18.3,0,пт
7530,,1,7,17.5,0,сб
4505,,1,7,19.1,0,вс
5560,1,,8,14.8,1,пн
5040,1,,8,19.1,1,вт
